composer/composer,src/Composer/Package/Version/VersionParser.php,Jordi Boggiano,10.5873623522338
composer/composer,src/Composer/Package/Version/VersionSelector.php,Jordi Boggiano,3.72649975504026
composer/composer,src/Composer/Package/Version/VersionSelector.php,Ryan Weaver,4.03837043010865
composer/composer,src/Composer/Plugin/CommandEvent.php,Jordi Boggiano,3.39849975504026
composer/composer,src/Composer/Plugin/CommandEvent.php,Nils Adermann,3.94599951008052
composer/composer,src/Composer/Plugin/PluginEvents.php,Nils Adermann,4.719
composer/composer,src/Composer/Plugin/PluginInterface.php,Nils Adermann,4.66049975504026
composer/composer,src/Composer/Plugin/PluginManager.php,Nils Adermann,5.81769091067507
composer/composer,src/Composer/Plugin/PreFileDownloadEvent.php,Nils Adermann,4.36634545533754
composer/composer,src/Composer/Repository/ArrayRepository.php,Jordi Boggiano,5.42165125625485
composer/composer,src/Composer/Repository/ArtifactRepository.php,Serge Smertin,4.60527561743172
composer/composer,src/Composer/Repository/ComposerRepository.php,Jordi Boggiano,16.2552156404864
composer/composer,src/Composer/Repository/CompositeRepository.php,Beau Simensen,3.81587018514891
composer/composer,src/Composer/Repository/CompositeRepository.php,Jordi Boggiano,3.99599951008052
composer/composer,src/Composer/Repository/FilesystemRepository.php,everzet,3.79119066571533
composer/composer,src/Composer/Repository/FilesystemRepository.php,Jordi Boggiano,4.80036284215324
composer/composer,src/Composer/Repository/InstalledArrayRepository.php,Jordi Boggiano,4.883
composer/composer,src/Composer/Repository/InstalledFilesystemRepository.php,Jordi Boggiano,4.719
composer/composer,src/Composer/Repository/InstalledRepositoryInterface.php,Jordi Boggiano,4.883
composer/composer,src/Composer/Repository/InvalidRepositoryException.php,Jordi Boggiano,4.391
composer/composer,src/Composer/Repository/PackageRepository.php,Jordi Boggiano,4.76599951008052
composer/composer,src/Composer/Repository/Pear/BaseChannelReader.php,Alexey Prilipko,4.49649975504026
composer/composer,src/Composer/Repository/Pear/ChannelInfo.php,Alexey Prilipko,4.391
composer/composer,src/Composer/Repository/Pear/ChannelReader.php,Alexey Prilipko,4.53034545533754
composer/composer,src/Composer/Repository/Pear/ChannelRest10Reader.php,Alexey Prilipko,4.20234545533754
composer/composer,src/Composer/Repository/Pear/ChannelRest11Reader.php,Alexey Prilipko,4.33249975504026
composer/composer,src/Composer/Repository/Pear/DependencyConstraint.php,Alexey Prilipko,4.391
composer/composer,src/Composer/Repository/Pear/DependencyInfo.php,Alexey Prilipko,4.391
composer/composer,src/Composer/Repository/Pear/PackageDependencyParser.php,Alexey Prilipko,4.36634545533754
composer/composer,src/Composer/Repository/Pear/PackageInfo.php,Pascal Borreli,3.457
composer/composer,src/Composer/Repository/Pear/PackageInfo.php,Alexey Prilipko,4.16849975504026
composer/composer,src/Composer/Repository/Pear/ReleaseInfo.php,Pascal Borreli,3.457
composer/composer,src/Composer/Repository/Pear/ReleaseInfo.php,Alexey Prilipko,4.16849975504026
composer/composer,src/Composer/Repository/PearRepository.php,Jordi Boggiano,7.19286969522943
composer/composer,src/Composer/Repository/PlatformRepository.php,Jordi Boggiano,7.29371588544619
composer/composer,src/Composer/Repository/RepositoryInterface.php,Jordi Boggiano,5.01387018514891
composer/composer,src/Composer/Repository/RepositoryManager.php,everzet,3.56277537247198
composer/composer,src/Composer/Repository/RepositoryManager.php,Jordi Boggiano,4.68587018514891
composer/composer,src/Composer/Repository/RepositorySecurityException.php,Jordi Boggiano,3.39849975504026
