moment/moment,test/moment/quarter.js,Eric Hartford,3.87437043010865
moment/moment,test/moment/relative_time.js,Stephen Huenneke,3.97984521037779
moment/moment,test/moment/sod_eod.js,Iskren Chernev,3.73571588544619
moment/moment,test/moment/sod_eod.js,Tim Wood,4.64899902016103
moment/moment,test/moment/string_prototype.js,gensym,3.72349926512077
moment/moment,test/moment/string_prototype.js,Iskren Chernev,3.76034545533754
moment/moment,test/moment/utc.js,Tim Wood,5.29187018514891
moment/moment,test/moment/utc_offset.js,Iskren Chernev,5.047
moment/moment,test/moment/weekday.js,Iskren Chernev,4.76599951008052
moment/moment,test/moment/weeks_in_year.js,Isaac Cambron,3.39849975504026
moment/moment,test/moment/weeks_in_year.js,Iskren Chernev,4.20234545533754
moment/moment,test/moment/weeks.js,Tim Wood,4.99769091067507
moment/moment,test/moment/week_year.js,Iskren Chernev,4.85834545533754
moment/moment,test/moment/zones.js,Tim Wood,5.46899902016103
moment/moment,test/moment/zone_switching.js,Iskren Chernev,4.49649975504026
